name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Kiran Kumar,http://www.espncricinfo.com/ci/content/player/447691.html,"July 29, 1983, Chagallu, Andhra Pradesh ",Services,-,-,-,1,-,-,-,-,1,-,-,-,-,0
George King,http://www.espncricinfo.com/ci/content/player/30265.html,"January 30, 1905, Lucknow, Uttar Pradesh ",Indian University Occasionals,-,-,-,2,-,-,-,-,1,-,-,-,-,0
Amay Khurasiya,http://www.espncricinfo.com/ci/content/player/30112.html,"May 18, 1972, Jabalpur, Madhya Pradesh ","India,",13.54,188,14,3,1,57,0,11,12,0,149,2,79.25,0
Vivek Khurana,http://www.espncricinfo.com/ci/content/player/30226.html,"June 2, 1984, Delhi ",Delhi,-,5,0,0,0,1*,0,1,1,1,1,0,20.00,0
KV Sasikanth,http://www.espncricinfo.com/ci/content/player/852317.html,"July 17, 1995, Visakhapatnam, Andhra Pradesh ","Andhra,",10.46,382,10,6,0,24*,0,16,12,3,136,2,35.60,0
Sashi Kumar,http://www.espncricinfo.com/ci/content/player/1164892.html,"February 17, 1982 ",Puducherry,7.50,54,2,1,0,14,0,2,2,0,15,0,27.77,0
Aditya Sarwate,http://www.espncricinfo.com/ci/content/player/719717.html,"December 10, 1989, Nagpur, Maharashtra ","Comptroller and Auditor General,",31.05,2155,114,14,6,103*,2,39,30,5,1056,6,49.00,0
Rupesh Sarvankar,http://www.espncricinfo.com/ci/content/player/35302.html,"October 13, 1984, Verem, Goa ",Goa,14.16,204,13,2,0,26,0,6,3,0,85,0,41.66,0
Amit Saroha,http://www.espncricinfo.com/ci/content/player/555048.html,"May 29, 1987, Sonipat ",Haryana,-,-,-,0,-,-,-,-,1,-,-,-,-,0
PM Sarvesh Kumar,http://www.espncricinfo.com/ci/content/player/327127.html,"April 26, 1989, Hyderabad, Andhra Pradesh ","Deccan Chargers,",19.00,69,2,2,0,14*,0,3,2,2,19,0,27.53,0
Sambasiva Sarma,http://www.espncricinfo.com/ci/content/player/33855.html,"October 13, 1984 ",Kerala,29.13,1210,56,6,1,111*,2,16,10,1,437,0,36.11,0
Madhavan Manohar,http://www.espncricinfo.com/ci/content/player/1159744.html,"July 27, 1987, Vaithikuppam, Puducherry ",Puducherry,3.00,33,1,7,0,6,0,2,3,0,6,0,18.18,0
T Mann,http://www.espncricinfo.com/ci/content/player/236812.html,"August 1, 1981, Rohtak ",Haryana,12.50,36,3,1,0,24,0,2,1,0,25,0,69.44,0
Prerak Mankad,http://www.espncricinfo.com/ci/content/player/956871.html,"March 23, 1994, Sirohi, Saurashtra ","Saurashtra,",36.10,1820,139,12,8,126,1,34,21,5,1047,5,57.52,0
Sanjay Manjrekar,http://www.espncricinfo.com/ci/content/player/30934.html,"July 12, 1965, Mangalore, Mysore ","India,",37.14,5282,220,25,9,218,4,61,37,6,2043,1,38.67,1
Minad Manjrekar,http://www.espncricinfo.com/ci/content/player/1123398.html,"October 5, 1996, Mumbai, Maharashtra ","Mumbai,",4.00,97,2,4,0,8*,0,4,4,2,8,0,8.24,0
Manjot Kalra,http://www.espncricinfo.com/ci/content/player/1079842.html,"January 15, 1999, Delhi ","Delhi Capitals,",6.50,14,0,1,0,13,0,2,2,0,13,2,92.85,0
Manjinder Singh,http://www.espncricinfo.com/ci/content/player/1175965.html,"March 18, 1996, Dimapur, Nagaland ",Nagaland,13.50,42,2,0,0,14,0,2,2,0,27,0,64.28,0
Manjeet Singh,http://www.espncricinfo.com/ci/content/player/588639.html,"November 1, 1991, Alwar, Rajasthan ",Rajasthan,8.91,157,12,1,0,33,0,14,10,2,107,5,68.15,0
Manish Sharma,http://www.espncricinfo.com/ci/content/player/1175481.html,"September 6, 1996, Ahmedabad, Gujarat ",Gujarat,-,-,-,1,-,-,-,-,3,-,-,-,-,0
Karan Patel,http://www.espncricinfo.com/ci/content/player/955935.html,"Mansa, Gujarat ",Gujarat,18.50,395,31,3,1,55,0,10,6,0,185,0,46.83,0
Ketul Patel,http://www.espncricinfo.com/ci/content/player/573933.html,"February 26, 1988, Baroda ",Baroda,8.00,135,8,2,0,19*,0,7,5,1,48,0,35.55,0
Krunal Patel,http://www.espncricinfo.com/ci/content/player/482493.html,"March 3, 1985, Sabarkantha, Gujarat ",Gujarat,7.00,36,1,0,0,7,0,1,1,0,7,0,19.44,0
Jignesh Patel,http://www.espncricinfo.com/ci/content/player/625816.html,"January 3, 1987, Surat ",Gujarat,-,-,-,0,-,-,-,-,2,-,-,-,-,0
Harshal Patel,http://www.espncricinfo.com/ci/content/player/390481.html,"November 23, 1990, Sanand, Gujarat ","Delhi Capitals,",15.30,2325,107,18,3,83,0,86,55,16,1071,34,46.06,0
Hardik Patel,http://www.espncricinfo.com/ci/content/player/793915.html,"May 8, 1995, Surat ",Gujarat,3.93,474,8,4,0,18*,0,21,17,6,59,0,12.44,0
Hemang Patel,http://www.espncricinfo.com/ci/content/player/1159726.html,"November 20, 1998, Daman and Diu, Gujara ",Gujarat,21.50,50,2,1,0,33,0,2,4,0,43,2,86.00,0
Patel,http://www.espncricinfo.com/ci/content/player/32392.html,"December 1, 1981, Madras (now Chennai), Tamil Nadu ","Tamil Nadu,",1.00,1,0,2,0,1,0,1,5,0,1,0,100.00,0
Het Patel,http://www.espncricinfo.com/ci/content/player/1070199.html,"October 13, 1998, Ahmedabad, Gujarat ","Gujarat Under-14s,",8.25,49,4,5,0,16,0,4,4,0,33,0,67.34,0
Musavir Khote,http://www.espncricinfo.com/ci/content/player/30220.html,"April 22, 1980, Sopra, Thana, Maharashtra ","Mumbai,",21.00,142,9,3,0,34,0,3,3,0,63,1,44.36,0
Saeed Khot,http://www.espncricinfo.com/ci/content/player/30109.html,"December 25, 1982, Sindhudurg, Maharashtra ",Maharashtra,-,-,-,1,-,-,-,-,3,-,-,-,-,0
Gagan Khoda,http://www.espncricinfo.com/ci/content/player/30107.html,"October 24, 1974, Barmer, Rajasthan ","India,",57.50,185,11,0,1,89,0,2,2,0,115,0,62.16,0
Abhimanyu Khod,http://www.espncricinfo.com/ci/content/player/538713.html,"October 10, 1991, Sirsa ",Haryana,20.16,2373,92,14,3,74,0,44,24,2,847,1,35.69,0
Gitansh Khera,http://www.espncricinfo.com/ci/content/player/482312.html,"June 4, 1991, Ludhiana, Punjab ",Punjab,32.48,3223,186,118,8,164,3,64,42,10,1754,19,54.42,18
Kulwant Khejroliya,http://www.espncricinfo.com/ci/content/player/1083033.html,"March 13, 1992, Churi Ajitgarh Jhunjhunu District, Rajasthan ","Delhi,",6.30,70,7,4,0,21*,0,13,11,3,63,4,90.00,0
Sukanta Khatua,http://www.espncricinfo.com/ci/content/player/30105.html,"September 25, 1979 ",Orissa,8.27,249,11,2,0,35,0,15,11,4,91,1,36.54,0
Sumit Khatri,http://www.espncricinfo.com/ci/content/player/275731.html,"July 15, 1989 ","Rajasthan,",46.00,110,6,1,0,32,0,2,1,1,46,0,41.81,0
Madhur Khatri,http://www.espncricinfo.com/ci/content/player/30295.html,"June 25, 1987, Bikaner, Rajasthan ",Rajasthan Under-16s,17.33,972,57,5,1,53,0,27,16,3,416,0,42.79,0
Gaurav Khatri,http://www.espncricinfo.com/ci/content/player/705095.html,"December 30, 1991, Bikaner, Rajasthan ",Rajasthan,12.00,19,1,0,0,12,0,1,1,0,12,0,63.15,0
Shourabh Kharwar,http://www.espncricinfo.com/ci/content/player/1083865.html,"February 6, 1993, Bhilai Nagar, Chhattisgarh ",Chhattisgarh,4.00,9,2,0,0,8,0,2,1,0,8,0,88.88,0
Amandeep Khare,http://www.espncricinfo.com/ci/content/player/942657.html,"August 5, 1997, Durg, Madhya Pradesh ",India Under-19s,39.38,2687,184,13,5,210,5,38,22,2,1418,8,52.77,0
Sourav Sarkar,http://www.espncricinfo.com/ci/content/player/34402.html,"December 15, 1984, Calcutta (now Kolkata), Bengal ","Bengal,",11.45,807,61,2,1,60,0,40,33,7,378,3,46.84,0
Beas Sarkar,http://www.espncricinfo.com/ci/content/player/54250.html,date unknown ,India Women,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Ajoy Sarkar,http://www.espncricinfo.com/ci/content/player/852305.html,"March 10, 1997, Agartala, Tripura ","Tripura,",6.83,122,4,0,0,14,0,11,8,5,41,0,33.60,0
Abhijit Sarkar,http://www.espncricinfo.com/ci/content/player/625406.html,"December 20, 1996, Unokoti ",Tripura,13.04,465,42,7,0,48,0,37,25,13,313,8,67.31,0
Pratik Sargade,http://www.espncricinfo.com/ci/content/player/1175500.html,"October 12, 1989 ",Puducherry,0.00,1,0,1,0,0,0,2,6,0,0,0,0.00,0
Sarfaraz Ashraf,http://www.espncricinfo.com/ci/content/player/733597.html,"November 2, 1989, Muzaffarpur ","Bangalore Provident (Rural),",-,-,-,2,-,-,-,-,1,-,-,-,-,0
Ashay Sardesai,http://www.espncricinfo.com/ci/content/player/1163696.html,"January 9, 1998, Thane, Maharashtra ",Mumbai,21.00,234,12,0,0,27,0,4,2,0,84,0,35.89,0
Sarath Babu,http://www.espncricinfo.com/ci/content/player/340874.html,"December 18, 1983, Guntur, Andhra Pradesh ",Andhra,16.50,48,5,0,0,25,0,2,1,0,33,1,68.75,0
Anurag Sarangi,http://www.espncricinfo.com/ci/content/player/722097.html,"December 17, 1992, Bhubaneswar, Orissa ",Odisha,28.02,3272,179,20,7,114,1,49,25,3,1289,6,39.39,0
Abhijeet Saranath,http://www.espncricinfo.com/ci/content/player/1168003.html,"November 8, 1996 ",Puducherry,-,27,2,0,0,10*,0,1,1,1,10,0,37.03,0
Sarandeep Singh,http://www.espncricinfo.com/ci/content/player/34211.html,"October 21, 1979, Amritsar, Punjab ","India,",43.00,136,1,1,0,39*,0,2,3,1,43,0,31.61,0
Siddharth Saraf,http://www.espncricinfo.com/ci/content/player/554195.html,"October 16, 1992, Jaipur, Rajasthan ",Rajasthan,28.64,1454,74,5,4,88,0,17,10,0,487,1,33.49,0
Sarabjit Singh,http://www.espncricinfo.com/ci/content/player/236773.html,"September 10, 1987, Jalandhar, Punjab ","Chandigarh Lions,",31.50,71,6,2,0,35,0,3,6,1,63,0,88.73,0
Manish Golamaru,http://www.espncricinfo.com/ci/content/player/1159715.html,"September 13, 1996, Visakhapatnam, Andhra Pradesh ",Andhra,15.71,304,14,0,0,36,0,8,4,1,110,1,36.18,0
Maninder Singh,http://www.espncricinfo.com/ci/content/player/812487.html,"July 10, 1989, Doraha, Ludhiana ",Punjab,3.00,12,0,1,0,6,0,2,4,0,6,1,50.00,0
Padmaja Manikantan,http://www.espncricinfo.com/ci/content/player/236774.html,"May 24, 1977, Trivandrum (now Thiruvananthapuram), Kerala ",Kerala,29.66,451,32,3,2,84,0,15,16,0,445,22,98.66,0
Deepak Manhas,http://www.espncricinfo.com/ci/content/player/924353.html,"January 5, 1992, Jammu ","Jammu & Kashmir,",0.00,4,0,0,0,0,0,1,1,0,0,0,0.00,0
Anoop Mangotra,http://www.espncricinfo.com/ci/content/player/30880.html,"April 29, 1982, Jammu and Kashmir ",Jammu & Kashmir,6.00,24,1,1,0,12,0,2,1,0,12,0,50.00,0
Mun Mangela,http://www.espncricinfo.com/ci/content/player/269167.html,"March 10, 1985, Bombay (now Mumbai), Maharashtra ","Mumbai,",10.60,275,15,2,0,31,0,11,8,1,106,0,38.54,0
Shrideep Mangela,http://www.espncricinfo.com/ci/content/player/284363.html,"April 1, 1988, Bombay (now Mumbai), Maharashtra ","Invitation XI,",15.00,445,20,4,1,55,0,9,5,0,135,0,30.33,0
Sagar Mangalorkar,http://www.espncricinfo.com/ci/content/player/470698.html,"September 19, 1990, Mangalore, Karnataka ","Baroda Cricket Association XI,",22.23,766,35,2,0,43*,0,23,17,10,289,0,37.72,0
Buddhadev Mangaldas,http://www.espncricinfo.com/ci/content/player/426108.html,"June 20, 1988, Bangalore ",Goa,12.60,115,6,0,0,41,0,9,8,4,63,4,54.78,0
Manender Singh,http://www.espncricinfo.com/ci/content/player/940747.html,"January 2, 1996, Jaipur, Rajasthan ",Rajasthan,19.50,949,57,9,2,63,0,20,11,2,351,0,36.98,0
Babita Mandlik,http://www.espncricinfo.com/ci/content/player/53938.html,"July 16, 1981, Indore, Madhya Pradesh ","India Red Women,",3.00,32,0,0,0,5*,0,3,3,1,6,0,18.75,0
Ashwani Mandhani,http://www.espncricinfo.com/ci/content/player/236765.html,"December 20, 1987, Kanpur, Uttar Pradesh, ",Uttar Pradesh,5.00,24,0,0,0,8,0,2,2,0,10,0,41.66,0
Smriti Mandhana,http://www.espncricinfo.com/ci/content/player/597806.html,"July 18, 1996, Bombay (now Mumbai), Maharashtra ","Brisbane Heat Women,",27.00,186,14,0,1,51,0,3,2,0,81,0,43.54,0
Mandeep Singh,http://www.espncricinfo.com/ci/content/player/398506.html,"December 18, 1991, Jalandhar, Punjab ","India,",43.50,73,11,1,1,52*,0,3,3,1,87,1,119.17,0
Shalu Mandar,http://www.espncricinfo.com/ci/content/player/31228.html,date unknown ,Maharashtra,-,-,-,0,-,-,-,-,2,-,-,-,-,0
Dhwanil Patel,http://www.espncricinfo.com/ci/content/player/964381.html,"October 1, 1995, Kapadvanj, Gujarat ","Gujarat,",5.00,10,1,1,0,5,0,1,1,0,5,0,50.00,0
Dixit Patel,http://www.espncricinfo.com/ci/content/player/731445.html,"November 15, 1994, Navsari, Gujarat ","Baroda Under-16s,",6.50,12,1,4,0,7,0,2,3,0,13,0,108.33,0
Dhruv Patel,http://www.espncricinfo.com/ci/content/player/1126179.html,"September 12, 1997, Mumbai, Maharashtra ","Baroda,",8.66,37,5,0,0,16,0,3,2,0,26,0,70.27,0
Axar Patel,http://www.espncricinfo.com/ci/content/player/554691.html,"January 20, 1994, Anand, Gujarat ","India,",12.92,190,8,15,0,38,0,20,38,6,181,8,95.26,0
Ashok Patel,http://www.espncricinfo.com/ci/content/player/32226.html,"March 6, 1957, Bhavnagar, Gujarat ","India,",3.00,11,0,1,0,6,0,2,8,0,6,0,54.54,0
Abhay Patel,http://www.espncricinfo.com/ci/content/player/625384.html,"December 9, 1989, Gotha, Gujarat ",Gujarat,0.00,1,0,0,0,0,0,1,2,0,0,0,0.00,0
AA Patel,http://www.espncricinfo.com/ci/content/player/290701.html,date unknown ,"Baroda,",42.00,31,4,0,0,22*,0,2,2,1,42,1,135.48,0
Alpesh Patel,http://www.espncricinfo.com/ci/content/player/279561.html,"October 9, 1987, Sittlpur ",Baroda,0.00,4,0,1,0,0*,0,2,2,1,0,0,0.00,0
Saurabh Passi,http://www.espncricinfo.com/ci/content/player/736709.html,"October 6, 1989, Delhi ","Delhi,",-,-,-,0,-,-,-,-,1,-,-,-,-,0
Babloo Passah,http://www.espncricinfo.com/ci/content/player/1159790.html,"December 20, 1990 ",Meghalaya,0.00,11,0,1,0,0,0,2,1,0,0,0,0.00,0
Kamal Passi,http://www.espncricinfo.com/ci/content/player/532855.html,"November 30, 1992, Amritsar, Punjab ","India Under-19s,",9.50,71,1,0,0,14,0,4,4,2,19,0,26.76,0
Rasanara Parwin,http://www.espncricinfo.com/ci/content/player/578454.html,"May 4, 1992, Bolangir ",India Women,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Surinder Khanna,http://www.espncricinfo.com/ci/content/player/30077.html,"June 3, 1956, Delhi ","India,",22.00,265,16,4,2,56,0,10,10,2,176,2,66.41,4
Priyanshu Khanduri,http://www.espncricinfo.com/ci/content/player/977821.html,"October 14, 1995, Dehra Dun, Uttar Pradesh ",Himachal Pradesh Cricket Association XI,31.23,1427,62,8,3,117,1,17,10,0,531,3,37.21,0
Parag Khanapurkar,http://www.espncricinfo.com/ci/content/player/422963.html,"March 31, 1986, Dharwad, Karnataka ","India Revenue,",28.00,289,21,2,0,123,1,8,8,0,224,2,77.50,0
Sarfaraz Khan,http://www.espncricinfo.com/ci/content/player/642525.html,"October 27, 1997, Mumbai ","India Under-19s,",33.43,830,66,6,2,155,1,17,11,1,535,10,64.45,0
Zaheer Khan,http://www.espncricinfo.com/ci/content/player/30102.html,"October 7, 1978, Shrirampur, Maharashtra ","India,",11.95,2381,141,19,3,75,0,127,92,24,1231,28,51.70,0
Salman Khan,http://www.espncricinfo.com/ci/content/player/949205.html,"December 26, 1998, Jhalawar, Rajasthan ","India Under-19s,",28.66,723,49,6,1,110,1,12,8,0,344,0,47.57,0
Imran Khan,http://www.espncricinfo.com/ci/content/player/280649.html,"May 15, 1973, Kanpur, Uttar Pradesh ",Services,10.00,56,3,0,0,31,0,4,4,0,40,2,71.42,0
Javed Khan,http://www.espncricinfo.com/ci/content/player/475374.html,"October 20, 1990, Siddharthanagar, Maharashtra ",Mumbai,21.50,508,34,7,0,48,0,21,17,5,344,16,67.71,0
Sanvir Singh,http://www.espncricinfo.com/ci/content/player/1132219.html,"October 12, 1996, Ludhiana, Punjab ","Punjab,",27.83,338,21,0,0,110,1,7,4,1,167,1,49.40,0
S Santhosh Kumaran,http://www.espncricinfo.com/ci/content/player/1168734.html,"April 3, 1998 ",Puducherry,1.00,22,0,0,0,2,0,2,1,0,2,0,9.09,0
Sanjay Yadav,http://www.espncricinfo.com/ci/content/player/1048841.html,"May 10, 1995, Gorakhpur, Uttar Pradesh ","Kolkata Knight Riders,",26.50,125,6,7,1,52,0,8,10,2,159,11,127.20,0
Martin Sanjeev,http://www.espncricinfo.com/ci/content/player/34371.html,"May 1, 1988, Madras (now Chennai), Tamil Nadu ","Ahmedabad Rockets,",24.00,72,1,1,0,48,0,2,1,0,48,4,66.66,0
Nikhil Mandale,http://www.espncricinfo.com/ci/content/player/322415.html,"October 31, 1988 ","Mumbai Champs,",1.00,3,0,0,0,1,0,1,1,0,1,0,33.33,0
Tapash Mandal,http://www.espncricinfo.com/ci/content/player/934681.html,"December 26, 1997, Konaban, Bishal Garh, Dist Sepahijala, Tripura ","Tripura,",2.33,36,0,0,0,4,0,3,2,0,7,0,19.44,0
Ajay Mandal,http://www.espncricinfo.com/ci/content/player/1059570.html,"February 25, 1996, Durg, Madhya Pradesh ",Chhattisgarh,26.18,770,64,9,1,135,1,19,11,3,419,3,54.41,0
Ambey Parwatkar,http://www.espncricinfo.com/ci/content/player/381857.html,"September 9, 1973, Ponda, Goa ",Goa,0.00,5,0,1,0,0,0,1,1,0,0,0,0.00,0
Parvez Rasool,http://www.espncricinfo.com/ci/content/player/378496.html,"February 13, 1989, Bijbehara, Jammu and Kashmir ","India,",-,-,-,0,-,-,-,-,1,-,-,-,-,0
Parminder Singh,http://www.espncricinfo.com/ci/content/player/317562.html,"October 11, 1984, Srinagar ",Jammu & Kashmir,2.50,60,0,0,0,5,0,2,1,0,5,0,8.33,0
Vishwanath Parmar,http://www.espncricinfo.com/ci/content/player/236813.html,"October 20, 1983, Baroda ",Baroda,9.00,22,1,0,0,9,0,1,1,0,9,0,40.90,0
Mohnish Parmar,http://www.espncricinfo.com/ci/content/player/240734.html,"April 12, 1988, Gandhinagar, Gujarat ","Gujarat,",14.45,579,38,8,0,41,0,26,20,4,318,5,54.92,0
Kishan Parmar,http://www.espncricinfo.com/ci/content/player/1065908.html,"April 9, 1992 ","Saurashtra,",32.28,424,35,3,0,149,1,7,5,0,226,1,53.30,0
Jayveer Parmar,http://www.espncricinfo.com/ci/content/player/1131608.html,"June 13, 1998, Ahmedabad, Gujarat, ","Gujarat,",-,6,0,2,0,3*,0,2,5,2,4,0,66.66,0
Shubham Khajuria,http://www.espncricinfo.com/ci/content/player/543078.html,"September 13, 1995, Jammu ","India Under-19s,",32.40,5449,309,16,15,111,4,77,41,3,2398,42,44.00,0
Avinash Khadse,http://www.espncricinfo.com/ci/content/player/30344.html,"June 14, 1972, Yavatmal, Maharashtra ",Vidarbha,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Harshad Khadiwale,http://www.espncricinfo.com/ci/content/player/253800.html,"October 21, 1988, Pune, Maharashtra ","India Under-19s,",40.96,9692,715,43,26,262,12,140,80,9,5367,19,55.37,0
Sinan Khadir,http://www.espncricinfo.com/ci/content/player/477338.html,"March 3, 1991, Mangalore, Karnataka ",Mangalore United,10.23,426,17,2,0,30,0,13,7,0,133,0,31.22,0
Ketan Garg,http://www.espncricinfo.com/ci/content/player/1169606.html,"June 15, 1999,  Kurung Kumey, Arunachal Pradesh ",Arunachal Pradesh,3.50,13,1,1,0,7,0,2,1,0,7,0,53.84,0
Keshav Kumar,http://www.espncricinfo.com/ci/content/player/30724.html,"December 13, 1988, Nalanda, Bihar ","Bihar,",17.93,646,34,3,0,38,0,16,11,0,287,0,44.42,0
Sanjay Raghunath,http://www.espncricinfo.com/ci/content/player/807657.html,"April 1, 1995, Varanasi, Uttar Pradesh ","Vidarbha,",39.86,4570,246,31,9,182,6,54,32,4,1993,6,43.61,0
Pradeep Sangwan,http://www.espncricinfo.com/ci/content/player/279545.html,"November 5, 1990, Rasiwas, Delhi ","Delhi,",20.10,2264,135,24,4,100*,1,74,54,14,1206,27,53.26,0
Larry Sangma,http://www.espncricinfo.com/ci/content/player/1175448.html,"October 5, 1992, Phulbari West Garo Hills, Meghalaya ",Meghalaya,0.00,10,0,1,0,0,0,1,2,0,0,0,0.00,0
Dippu Sangma,http://www.espncricinfo.com/ci/content/player/1159786.html,"May 20, 1997 ",Meghalaya,7.42,144,6,5,0,36,0,9,8,2,52,0,36.11,0
Chengkam Sangma,http://www.espncricinfo.com/ci/content/player/1159784.html,"October 10, 1994 ",Meghalaya,1.66,31,1,1,0,4*,0,5,5,2,5,0,16.12,0
Kunal Pankaj,http://www.espncricinfo.com/ci/content/player/602984.html,"January 8, 1995, Kerala ",Saracens Sports Club,20.50,82,6,0,0,39,0,2,1,0,41,0,50.00,0
Ashith Sanganakal,http://www.espncricinfo.com/ci/content/player/1159740.html,date unknown ,Puducherry,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Rahul Sanghvi,http://www.espncricinfo.com/ci/content/player/34214.html,"September 3, 1974, Surat, Gujarat ","India,",1.00,22,0,0,0,2,0,2,1,0,2,0,9.09,0
Balwinder Sandhu,http://www.espncricinfo.com/ci/content/player/392758.html,"May 26, 1987, Bombay (now Mumbai), Maharashtra ","Mumbai,",21.05,923,45,5,1,64*,0,29,23,12,358,0,38.78,0
Hardavinder Sandhu,http://www.espncricinfo.com/ci/content/player/228944.html,"September 6, 1986, Patiala, Punjab ",Punjab,5.50,28,1,0,0,6,0,3,3,1,11,0,39.28,0
Sandeep Warrier,http://www.espncricinfo.com/ci/content/player/592735.html,"April 4, 1991, Thrissur, Kerala ","India Under-23s,",2.82,412,9,13,0,12,0,54,46,26,79,1,19.17,0
Sandeep Singh,http://www.espncricinfo.com/ci/content/player/341161.html,"September 26, 1981, Jammu ",Jammu & Kashmir,19.75,169,5,4,0,44,0,4,4,0,79,1,46.74,1
Sandeep Singh,http://www.espncricinfo.com/ci/content/player/231048.html,"October 10, 1988, Mundal, Haryana ","Haryana,",11.52,1062,25,15,1,58,0,26,15,3,265,1,24.95,4
Sandeep Sharma,http://www.espncricinfo.com/ci/content/player/438362.html,"May 18, 1993, Patiala, Punjab ","India,",-,1,0,0,0,1*,0,1,2,1,1,0,100.00,0
V Sandeep,http://www.espncricinfo.com/ci/content/player/34495.html,"November 29, 1987, Guntur, Andhra Pradesh ",Andhra Under-14s,13.66,104,2,0,0,21,0,3,3,0,41,0,39.42,0
Bavanaka Sandeep,http://www.espncricinfo.com/ci/content/player/427484.html,"April 25, 1992, Hyderabad, Andhra Pradesh ",Hyderabad Cricket Association Colts XI,48.56,7951,374,41,21,203*,7,79,53,8,3448,17,43.36,0
Manan Sharma,http://www.espncricinfo.com/ci/content/player/339955.html,"March 19, 1991, Delhi ","Delhi,",27.45,2357,171,20,8,136,1,51,35,7,1208,6,51.25,0
Shakti Malviya,http://www.espncricinfo.com/ci/content/player/500146.html,"October 27, 1990, Varansi, Uttar Pradesh ",Services,-,0,0,0,0,0*,0,2,2,2,0,0,-,0
Surendra Malviya,http://www.espncricinfo.com/ci/content/player/721859.html,"November 15, 1994, Vidisha ",Madhya Pradesh,52.00,57,8,0,1,51*,0,2,2,1,52,0,91.22,0
Prakashi Malve,http://www.espncricinfo.com/ci/content/player/31424.html,"January 13, 1948, Nasik, Maharashtra ",Maharashtra,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Jamalpur Mallikarjun,http://www.espncricinfo.com/ci/content/player/1137211.html,"October 14, 1993, Hydershakote, Andhra Pradesh ","Hyderabad (India),",3.00,11,0,-,0,3,0,1,1,0,3,0,27.27,-
Abhilash Mallick,http://www.espncricinfo.com/ci/content/player/425937.html,"November 21, 1991, Cuttack, Orissa ",Orissa Cricket Association XI,25.31,2226,152,9,7,126,1,48,29,4,1114,14,50.04,0
Shivam Malhotra,http://www.espncricinfo.com/ci/content/player/1083633.html,"March 7, 1991, Jammu ",Mumbai,7.00,60,1,1,0,7*,0,3,2,2,7,0,11.66,0
R Malhotra,http://www.espncricinfo.com/ci/content/player/31417.html,date unknown ,Jammu & Kashmir,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Reema Malhotra,http://www.espncricinfo.com/ci/content/player/54233.html,"October 17, 1980, Delhi ","Delhi,",23.00,72,3,0,0,12*,0,2,1,1,23,0,31.94,0
Hardikkumar Parmar,http://www.espncricinfo.com/ci/content/player/32203.html,"September 22, 1982, Borsad, Gujarat ",Baroda,-,3,0,0,0,0*,0,1,1,1,0,0,0.00,0
Chirag Parmar,http://www.espncricinfo.com/ci/content/player/1080554.html,"December 25, 1990, Rajkot ",Gujarat,7.00,37,1,0,0,19,0,3,3,0,21,1,56.75,0
Ramnath Parkar,http://www.espncricinfo.com/ci/content/player/32202.html,"October 31, 1946, Bombay (now Mumbai), Maharashtra ","India,",20.00,232,10,0,0,35,0,4,2,0,80,0,34.48,0
Akash Parkar,http://www.espncricinfo.com/ci/content/player/714461.html,"May 20, 1994, Bombay (now Mumbai), Maharashtra ",Rizvi Mumbai,21.80,637,29,2,1,65,0,12,8,2,218,2,34.22,0
Ghulam Parkar,http://www.espncricinfo.com/ci/content/player/32201.html,"October 25, 1955, Kaluste, Maharashtra ","India,",3.50,45,1,1,0,6,0,2,1,0,7,0,15.55,0
Parth Parikh,http://www.espncricinfo.com/ci/content/player/447453.html,"October 31, 1989, Vijapur, Gujarat ",Gujarat,15.66,79,4,1,0,20,0,3,2,0,47,1,59.49,0
Sukanya Parida,http://www.espncricinfo.com/ci/content/player/960749.html,"May 15, 1993, Kendrapura, Bengal ",Bengal Women,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Pargat Singh,http://www.espncricinfo.com/ci/content/player/446690.html,"April 13, 1992, Ropar ",Punjab,19.11,340,25,3,1,64,0,9,6,0,172,2,50.58,0
Sujeet Parbatani,http://www.espncricinfo.com/ci/content/player/278231.html,"October 11, 1991, Gujrat, Punjab ","Cricket Coaching School,",8.66,28,3,0,0,17,0,3,3,0,26,1,92.85,0
Amit Parashar,http://www.espncricinfo.com/ci/content/player/482318.html,"April 11, 1989, Panchkula, Haryana ",Punjab,17.50,37,4,1,0,29,0,2,2,0,35,0,94.59,0
Eknath Kerkar,http://www.espncricinfo.com/ci/content/player/706341.html,"September 10, 1993, Mumbai ",Mumbai,32.00,140,6,6,1,56*,0,3,2,1,64,0,45.71,0
Rahul Keni,http://www.espncricinfo.com/ci/content/player/30731.html,"April 24, 1988 ","Goa,",30.81,1870,116,30,4,115*,1,34,23,7,832,2,44.49,5
(Sergeant) Kemp,http://www.espncricinfo.com/ci/content/player/30058.html,date unknown ,Europeans (India),-,-,-,0,-,-,-,-,1,-,-,-,-,0
